500 0
600 62
700 0
800 0
900 0
1000 62
1100 0
1200 0
1300 62
1400 0
1500 62
1600 0
1700 62
1800 0
1900 62
2000 62
2100 0
2200 62
2300 0
2400 62
2500 0
2600 62
2700 62
2800 62
2900 0
3000 62
3100 62
3200 62
3300 125
3400 62
3500 62
3600 62
3700 62
3800 125
3900 62
4000 62
4100 0
4200 125
4300 62
4400 124
4500 62
4600 124
4700 124
4800 62
4900 124
5000 125
5100 124
5200 124
5300 124
5400 62
5500 125
5600 62
5700 187
5800 124
5900 124
6000 124
6100 124
6200 124
6300 187
6400 124
6500 124
6600 187
6700 124
6800 187
6900 125
7000 187
7100 187
7200 124
7300 187
7400 187
7500 124
7600 187
7700 187
7800 187
7900 187
8000 124
8100 187
8200 187
8300 187
8400 187
8500 187
8600 187
8700 249
8800 187
8900 187
9000 249
9100 187
9200 187
9300 249
9400 187
9500 249
9600 249
9700 124
9800 249
9900 249
10000 187
10100 249
10200 249
10300 249
10400 249
10500 250
10600 249
10700 249
10800 249
10900 249
11000 249
11100 250
11200 249
11300 249
11400 249
11500 249
11600 312
11700 249
11800 249
11900 312
12000 249
12100 312
12200 249
12300 312
12400 312
12500 249
12600 312
12700 312
12800 312
12900 312
13000 249
13100 249
13200 312
13300 312
13400 312
13500 375
13600 312
13700 312
13800 374
13900 312
14000 374
14100 249
14200 312
14300 374
14400 374
14500 312
14600 312
14700 312
14800 374
14900 374
15000 374
15100 312
15200 312
15300 437
15400 374
15500 374
15600 374
15700 374
15800 374
15900 374
16000 437
16100 312
16200 375
16300 437
16400 374
16500 374
16600 437
16700 374
16800 437
16900 437
17000 374
17100 437
17200 374
17300 437
17400 437
17500 437
17600 437
17700 437
17800 437
17900 437
18000 374
18100 437
18200 499
18300 437
18400 437
18500 499
18600 437
18700 437
18800 437
18900 437
19000 499
19100 437
19200 562
19300 499
19400 437
19500 499
19600 499
19700 499
19800 499
19900 499
20000 499
